"date","devices"
"2021-10-11T04:15:04.083968","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T04:20:04.260674","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T04:25:04.380378","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T04:30:04.515603","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T04:35:04.668264","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T04:40:04.788595","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T04:45:04.963519","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T04:50:04.079776","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T04:55:04.175472","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T05:00:04.224480","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T05:05:04.397445","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T05:10:04.571435","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T05:15:04.714424","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T05:20:04.891094","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
"2021-10-11T05:25:05.203982","4C:8B:30:CA:CE:A6||65TCLRokuTV||DC:E9:94:F9:17:6C||Lisas-MBP-2||Lisas-iPhone||Living-Room||d4:5d:64:1c:28:e0||iRobot-A0CF4ECA53154FF4ACCEEE5F5D2CB17F||raspberrypi"
